Fascia,Cognome e Nome,Genere,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza
Ordinario,OLIVIERI Gustavo,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
Ordinario,ORIANI Raffaele,M,,13/ECON-09,ECON-09/A,SECS-P/09,13/B4,Accounting and Corporate Finance
Ordinario,ORLANDI Mauro,M,,12/GIUR-01,GIUR-01/A,IUS/01,12/A1,GIURISPRUDENZA
Ordinario,ORSINA Giovanni,M,,11/HIST-03,HIST-03/A,M-STO/04,11/A3,SCIENZE POLITICHE
Associato,ORSINI Alessandro,M,,14/GSPS-05,GSPS-05/A,SPS/07,14/C1,SCIENZE POLITICHE
Associato confermato,PASCALI Luigi,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ricercatore a t.d. - t.pieno (L. 79/2022),PATNAIK Megha,F,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,ECONOMICS AND FINANCIAL MARKETS
Ordinario,PELLEGRINI Mirella,F,,12/GIUR-03,GIUR-03/A,IUS/05,12/E3,GIURISPRUDENZA
Ordinario,PELLEGRINO Gianfranco,M,,14/GSPS-01,GSPS-01/A,SPS/01,14/A1,SCIENZE POLITICHE
Ricercatore a t.d. - t.pieno (L. 79/2022),PELUCCO Valerio,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,PERONE PACIFICO Marco,M,,13/STAT-01,STAT-01/A,SECS-S/01,13/D1,"AI, DATA AND DECISION SCIENCES"
Ordinario,PERRI Alessandra,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),PERSIANI Alessio,M,,12/GIUR-08,GIUR-08/A,IUS/12,12/D2,GIURISPRUDENZA
Ordinario,PERUFFO Enzo,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),PETRONE Michele,M,,10/STAA-01,STAA-01/J,L-OR/10,10/N1,SCIENZE POLITICHE
Ordinario,PETRUCCI Alberto,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ordinario,PEVERINI Paolo,M,,11/PHIL-04,PHIL-04/B,M-FIL/05,11/C4,SCIENZE POLITICHE
Associato,PEZONE Vincenzo,M,,13/ECON-09,ECON-09/A,SECS-P/09,13/B4,Accounting and Corporate Finance
Ordinario,PICCIRILLI Giovanni,M,,12/GIUR-05,GIUR-05/A,IUS/08,12/C1,GIURISPRUDENZA
